,ADCTemp_Tenths,CellTotalHeater_mA,CoolDmd,DUTX_A,DUTY_A,DriveFan_Dmd,DriveFan_MeasuredRPM,DriveSupplyX_A,DriveSupplyX_V,DriveSupplyY_A,DriveSupplyY_V,ElectronicsFan_MeasuredRPM_1,ElectronicsFan_MeasuredRPM_2,FTemp,FlowTemp_Tenths,HeatDmd,Input_A,TargetTempRateControlled,TargetTemp_Tenths,Volts24v,dmd_I,dmd_P,Output
ADCTemp_Tenths,1,0.279298119,-0.163642851,0.031730018,0.023169075,-0.047016951,0.270899404,0.0313719,0.159235803,0.023003489,0.15521114,0.028843839,-0.069791066,0.395363778,0.459319773,0.219556785,0.054551936,0.472505123,0.148716936,-0.014585896,0.182388311,-0.162543592,0.267742249
CellTotalHeater_mA,0.279298119,1,-0.69249083,-0.036959688,0.117510521,0.426628141,0.545292858,-0.037171189,0.468239986,0.117305016,0.471724198,0.051802394,-0.122490882,0.434114533,0.537683361,0.64238038,0.387044445,0.523555204,0.590135038,-0.471785701,0.637970585,-0.130751011,0.401352814
CoolDmd,-0.163642851,-0.69249083,1,-0.420134784,-0.581033845,-0.647062509,-0.692960119,-0.420015004,-0.83822413,-0.580698751,-0.839715257,-0.263082253,0.340931641,-0.709766762,-0.693173195,-0.749600039,-0.578007004,-0.600897098,-0.82603839,0.40495576,-0.68027027,-0.095455088,-0.511008886
DUTX_A,0.031730018,-0.036959688,-0.420134784,1,0.906406031,0.443287764,0.532377422,0.999996728,0.765667647,0.906235746,0.766187389,0.179968447,-0.330153918,0.675957921,0.320819634,-0.028287351,0.675970088,0.16262673,0.117018621,0.049646942,-0.203993101,-0.173826178,0.042140647
DUTY_A,0.023169075,0.117510521,-0.581033845,0.906406031,1,0.614924342,0.585974115,0.906444698,0.885559594,0.999996507,0.884222495,0.166301897,-0.375972583,0.649140704,0.274037639,0.053344895,0.755272339,0.094551206,0.196618292,-0.0915207,-0.112191372,-0.158334423,-0.032303192
DriveFan_Dmd,-0.047016951,0.426628141,-0.647062509,0.443287764,0.614924342,1,0.478914453,0.443468084,0.690134688,0.614733362,0.689700654,-0.022916481,-0.247273665,0.490625656,0.315977982,0.252643246,0.562134665,0.204912733,0.366919424,-0.24389079,0.190769913,-0.055192568,0.122971963
DriveFan_MeasuredRPM,0.270899404,0.545292858,-0.692960119,0.532377422,0.585974115,0.478914453,1,0.532454145,0.764781436,0.585771091,0.766592244,0.101254017,-0.160328435,0.675900923,0.536961089,0.426242792,0.564430286,0.434790224,0.450389972,-0.220230654,0.307315603,-0.209840038,0.308020743
DriveSupplyX_A,0.0313719,-0.037171189,-0.420015004,0.999996728,0.906444698,0.443468084,0.532454145,1,0.765636816,0.90627601,0.76615641,0.180061644,-0.330305675,0.675796658,0.32056207,-0.028717463,0.676298808,0.162338062,0.116804332,0.04974442,-0.204346096,-0.174327263,0.041758457
DriveSupplyX_V,0.159235803,0.468239986,-0.83822413,0.765667647,0.885559594,0.690134688,0.764781436,0.765636816,1,0.885376476,0.999691195,0.252138626,-0.332716693,0.830792786,0.568406606,0.358508505,0.719589726,0.406654883,0.446167225,-0.242181929,0.20922943,-0.223082374,0.199596219
DriveSupplyY_A,0.023003489,0.117305016,-0.580698751,0.906235746,0.999996507,0.614733362,0.585771091,0.90627601,0.885376476,1,0.884040127,0.166068024,-0.375836954,0.648857804,0.27362602,0.052855186,0.755128452,0.094135123,0.196150543,-0.091143006,-0.112630623,-0.158738359,-0.032701237
