YYYY,MM,DD,hh,mm,ss,ADCTemp_Tenths,BatchTestTime,CCCType,CPUUtilization,Cal,CellFolder,CellSerialNumber,CellTotalHeater_mA,Column,CoolDmd,DUTX_A,DUTY_A,DefaultMaxHandlingTemp,DefaultNegativeRampRate,DefaultPositiveRampRate,DriveFan_Dmd,DriveFan_MeasuredRPM,DriveIO_V,DriveSN1,DriveSN2,DriveSupplyX_A,DriveSupplyX_V,DriveSupplyY_A,DriveSupplyY_V,EFGHCode1,EFGHCode2,ElectronicsFan_Dmd_1,ElectronicsFan_Dmd_2,ElectronicsFan_MeasuredRPM_1,ElectronicsFan_MeasuredRPM_2,ElectronicsFan_MeasuredRPM_3,ElectronicsFan_MeasuredRPM_4,ElectronicsFan_MeasuredRPM_5,EnvStatusFlags,FPGACellInterlocks,FTemp,FanSpeedControlActive,FirmwareVersionMajor,FirmwareVersionMinor,FlowTemp_Tenths,FoundFTemp,FoundMaxTemp,FoundMinTemp,FoundTATarget,FreeRAM,HeatDmd,HeaterInterlockTripReasons,Input_A,IsAirValveOk,IsCellOnTemp,IsDaughterPluggedIn,IsDriveFanSpeedOk,IsDrivePluggedIn,IsDuelDriveCell,IsEEPROMOk,IsElectronicsFanSpeedOk,IsFirmwareOk,IsHeaterOk,IsOverTempOk,IsRimPluggedIn,IsSuppliesOk,IsVCLimitOk,MaxNegativeRampRate,MaxPositiveRampRate,MaxTemp,MaxTemperature,MeasuredCurrentRate,MemoryAvailable,MinTemp,MinTemperature,Mode,Operation,PFCode1,PFCode2,PSUStatus,PlugStatus,Product,RBFVersionMajor,RBFVersionMinor,ReturnTemp_Tenths,Row,SERef_V,SWVersion,SafeHandlingTemp,SharedSRef_V,Slot,SlotOperation,SupplyInterlockTripReasons,TATargetTemp,TargetTempRateControlled,TargetTemp_Tenths,TempControlMode,TesterID,TotalRAM,UsedRAM,Volts1v2,Volts1v8,Volts24v,Volts3v3,Volts5v,WRFTempMode_Active_now,WRLastFTempReading,WRLastMedianFTempReading,WRLastReqAirTargetToCell,WRLastReqTargetFromTA,WR_GetNegativeRampRate,WR_GetPositiveRampRate,WR_IOPWantControlByFTemp,WR_SIOWantControlByFTemp,WrapperOnTemp,dmd_D,dmd_I,dmd_P
2023,7,7,16,17,2,24.6,,OMEGAAMC,2,4.097,Cell0403,0x020430,3.371,12,0,0,0.001,40,1,1,135,4493,3.295,WXE808KX6102,NONE,0,0.027,0.001,0.022,NONE,NONE,88,87,2998,2902,0,0,0,0,0,-1,1,0x00,0x57,27.7,-1,-1,-1,-1,0,52,0,1.139,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,-1,70,0,0,-1,15,Multiple Environment,XQUAL,NONE,NONE,8224,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,-1,27.6,35,Ramp To Temperature,PM282,0,0,1.23,1.937,22.643,3.391,5.15,-1,-1,,-1,-1,-1,-1,,-1,-1,0,50,2
2023,7,7,16,23,21,24.6,,OMEGAAMC,10,4.097,Cell0403,0x020430,0.002,12,0,0.192,0.221,40,1,1,135,4493,3.294,WXE808KX6102,NONE,0.192,4.999,0.221,12.002,NONE,NONE,88,86,2989,2893,0,0,0,1,0,0,1,0x00,0x57,26.1,0,0,0,0,0,0,0,2.573,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,0,35,35,Safe Handling,PM282,0,0,1.23,1.937,23.068,3.391,5.15,0,250,-1,0,0,0,0,-1,1,1,0,0,0
2023,7,7,16,24,52,25,,OMEGAAMC,11,4.097,Cell0403,0x020430,0.002,12,0,0.191,0.219,40,1,1,135,4493,3.294,WXE808KX6102,NONE,0.191,5.002,0.219,12.002,NONE,NONE,88,87,3011,2917,0,0,0,1,0,0,1,0x00,0x57,26.4,0,0,0,0,0,0,0,2.617,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,0,35,35,Safe Handling,PM282,0,0,1.23,1.937,23.308,3.391,5.15,0,250,-1,0,0,0,0,-1,1,1,0,0,0
2023,7,7,16,26,23,25,,OMEGAAMC,10,4.097,Cell0403,0x020430,2.285,12,0,0.192,0.217,40,1,1,135,4493,3.294,WXE808KX6102,NONE,0.192,4.999,0.217,12.002,NONE,NONE,88,86,2992,2899,0,0,0,0,0,26,1,0x00,0x57,27.8,1,0,0,1,0,32,0,2.604,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,27.8,70,Ramp To Temperature,PM282,0,0,1.23,1.937,22.426,3.391,5.15,1,260,-1,700,600,0,0,-1,1,0,0,30,2
2023,7,7,16,27,55,25,,OMEGAAMC,6,4.097,Cell0403,0x020430,3.386,12,0,0.193,0.213,40,1,1,135,4493,3.294,WXE808KX6102,NONE,0.193,5,0.213,12.002,NONE,NONE,88,87,3005,2908,0,0,0,0,0,26,1,0x00,0x57,29.4,1,0,0,1,0,43,0,2.583,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,6,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,29.4,70,Ramp To Temperature,PM282,0,0,1.23,1.937,22.325,3.39,5.15,1,260,-1,700,600,0,0,-1,1,0,0,42,0
2023,7,7,16,29,26,24.6,,OMEGAAMC,7,4.097,Cell0403,0x020430,3.389,12,0,0.192,0.212,40,1,1,135,4493,3.294,WXE808KX6102,NONE,0.192,5,0.212,12.002,NONE,NONE,87,86,2998,2899,0,0,0,0,0,27,1,0x00,0x57,30.9,1,0,0,1,0,56,0,2.591,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,30.9,70,Ramp To Temperature,PM282,0,0,1.23,1.937,22.429,3.39,5.15,1,270,-1,700,600,0,0,-1,1,0,0,55,0
2023,7,7,16,30,57,25,,OMEGAAMC,6,4.097,Cell0403,0x020430,4.471,12,0,0.193,0.209,40,1,1,135,4500,3.294,WXE808KX6102,NONE,0.193,5,0.209,12.002,NONE,NONE,88,86,2995,2884,0,0,0,0,0,27,1,0x00,0x57,32.4,1,0,0,1,0,66,0,2.587,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,32.4,70,Ramp To Temperature,PM282,0,0,1.23,1.937,22.155,3.39,5.15,1,270,-1,700,600,0,0,-1,1,0,0,65,1
2023,7,7,16,32,28,25,,OMEGAAMC,6,4.097,Cell0403,0x020430,4.416,12,0,0.192,0.209,40,1,1,135,4500,3.294,WXE808KX6102,NONE,0.192,5,0.209,12.002,NONE,NONE,87,86,2995,2893,0,0,0,0,0,29,1,0x00,0x57,33.9,1,0,0,1,0,73,0,2.576,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,33.9,70,Ramp To Temperature,PM282,0,0,1.23,1.937,21.939,3.39,5.15,1,290,-1,700,600,0,0,-1,1,0,0,72,1
2023,7,7,16,33,59,25,,OMEGAAMC,8,4.097,Cell0403,0x020430,5.464,12,0,0.195,0.206,40,1,1,135,4500,3.294,WXE808KX6102,NONE,0.195,5,0.206,12.002,NONE,NONE,88,86,3005,2893,0,0,0,0,0,30,1,0x00,0x57,35.4,1,0,0,1,0,82,0,2.574,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,35.4,70,Ramp To Temperature,PM282,0,0,1.23,1.937,22.049,3.39,5.15,1,300,-1,700,600,0,0,-1,1,0,0,80,1
2023,7,7,16,35,30,25,,OMEGAAMC,9,4.097,Cell0403,0x020430,6.649,12,0,0.194,0.205,40,1,1,135,4500,3.295,WXE808KX6102,NONE,0.194,5,0.205,12.002,NONE,NONE,87,87,2992,2911,0,0,0,0,0,31,1,0x00,0x57,37,1,0,0,1,0,86,0,2.558,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,4,2.487,52.0.85.15,35,3.299,3,XQUAL,0,60,36.9,70,Ramp To Temperature,PM282,0,0,1.23,1.937,22.111,3.39,5.15,1,310,-1,700,600,0,0,-1,1,0,0,86,0
