YYYY,MM,DD,hh,mm,ss,ADCTemp_Tenths,BatchTestTime,CCCType,CPUUtilization,Cal,CellFolder,CellSerialNumber,CellTotalHeater_mA,Column,CoolDmd,DUTX_A,DUTY_A,DefaultMaxHandlingTemp,DefaultNegativeRampRate,DefaultPositiveRampRate,DriveFan_Dmd,DriveFan_MeasuredRPM,DriveIO_V,DrivePowerByTA1,DrivePowerByTA2,DriveSN1,DriveSN2,DriveSupplyX_A,DriveSupplyX_V,DriveSupplyY_A,DriveSupplyY_V,EFGHCode1,EFGHCode2,ElectronicsFan_Dmd_1,ElectronicsFan_Dmd_2,ElectronicsFan_MeasuredRPM_1,ElectronicsFan_MeasuredRPM_2,ElectronicsFan_MeasuredRPM_3,ElectronicsFan_MeasuredRPM_4,ElectronicsFan_MeasuredRPM_5,EnvStatusFlags,FPGACellInterlocks,FTemp,FanSpeedControlActive,FirmwareVersionMajor,FirmwareVersionMinor,FlowTemp_Tenths,FoundFTemp,FoundMaxTemp,FoundMinTemp,FoundTATarget,FreeRAM,HeatDmd,HeaterInterlockTripReasons,Input_A,IsAirValveOk,IsCellOnTemp,IsDaughterPluggedIn,IsDriveFanSpeedOk,IsDrivePluggedIn,IsDuelDriveCell,IsEEPROMOk,IsElectronicsFanSpeedOk,IsFirmwareOk,IsHeaterOk,IsOverTempOk,IsRimPluggedIn,IsSuppliesOk,IsVCLimitOk,MaxNegativeRampRate,MaxPositiveRampRate,MaxTemp,MaxTemperature,MeasuredCurrentRate,MemoryAvailable,MinTemp,MinTemperature,Mode,Operation,PFCode1,PFCode2,PSUStatus,PlugStatus,Product,RBFVersionMajor,RBFVersionMinor,ReturnTemp_Tenths,Row,SERef_V,SWVersion,SafeHandlingTemp,SharedSRef_V,Slot,SlotOperation,SupplyInterlockTripReasons,TATargetTemp,TargetTempRateControlled,TargetTemp_Tenths,TempControlMode,TesterID,TotalRAM,UsedRAM,Volts1v2,Volts1v8,Volts24v,Volts3v3,Volts5v,WRFTempMode_Active_now,WRLastFTempReading,WRLastMedianFTempReading,WRLastReqAirTargetToCell,WRLastReqTargetFromTA,WR_GetNegativeRampRate,WR_GetPositiveRampRate,WR_IOPWantControlByFTemp,WR_SIOWantControlByFTemp,WrapperOnTemp,dmd_D,dmd_I,dmd_P
2023,11,21,1,16,13,24.3,2.02311E+13,OMEGAAMC,4,4.096,Cell132014,0x003963,1.122,132,6,0.001,0.001,40,1,1,136,4443,3.287,-1,-1,WCC6YFZ0PVAK,NONE,0.001,0.026,0.001,0.02,NONE,NONE,81,73,2998,2902,0,0,0,0,0,-1,1,0x00,0x57,23.1,-1,-1,-1,-1,0,0,0,1.644,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,-1,70,0,0,-1,15,Multiple Environment,PREBI,NONE,NONE,8224,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,-1,22.8,35,Ramp To Temperature,CB081,0,0,1.208,1.937,23.919,3.386,5.137,-1,-1,,-1,-1,-1,-1,,-1,-1,0,-1,-4
2023,11,21,1,22,30,24.3,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,1.17,132,0,0.001,0.001,40,1,1,137,4507,3.287,0,-1,WCC6YFZ0PVAK,NONE,0.001,0.026,0.001,0.019,NONE,NONE,82,74,3001,2902,0,0,0,0,0,24,1,0x00,0x57,29.6,1,0,0,1,0,33,0,1.698,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,PREBI,NONE,NONE,0,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,29.5,45,Ramp To Temperature,CB081,0,0,1.208,1.937,23.919,3.386,5.137,1,240,-1,450,350,10,10,1,1,0,0,33,0
2023,11,21,1,24,1,24.3,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,1.137,132,0,0.266,0.264,40,1,1,137,4507,3.287,0,-1,WCC6YFZ0PVAK,NONE,0.266,5.048,0.264,12.028,NONE,NONE,82,74,2998,2905,0,0,0,0,0,27,1,0x00,0x57,31.1,1,0,0,1,0,37,0,2.029,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,6,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,31,43,Ramp To Temperature,CB081,0,0,1.208,1.937,23.892,3.386,5.137,1,270,-1,430,350,10,10,1,1,0,0,37,0
2023,11,21,1,25,33,24.3,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,1.202,132,0,0.267,0.252,40,1,1,137,4507,3.287,0,-1,WCC6YFZ0PVAK,NONE,0.267,5.047,0.252,12.027,NONE,NONE,82,74,3001,2908,0,0,0,0,0,28,1,0x00,0x57,32.6,1,0,0,1,0,41,0,2.128,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,32.6,42,Ramp To Temperature,CB081,0,0,1.208,1.937,23.905,3.386,5.137,1,280,-1,420,350,10,10,1,1,0,0,40,0
2023,11,21,1,27,4,24.3,2.02311E+13,OMEGAAMC,6,4.096,Cell132014,0x003963,1.184,132,0,0.275,0.269,40,1,1,136,4486,3.287,0,-1,WCC6YFZ0PVAK,NONE,0.275,5.048,0.269,12.027,NONE,NONE,82,74,3005,2905,0,0,0,0,0,30,1,0x00,0x57,34.1,1,0,0,1,0,42,0,2.064,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,34.1,40,Ramp To Temperature,CB081,0,0,1.208,1.937,23.907,3.386,5.138,1,300,-1,400,350,10,10,1,1,0,0,41,0
2023,11,21,1,28,35,24.3,2.02311E+13,OMEGAAMC,6,4.096,Cell132014,0x003963,1.176,132,0,0.282,0.258,40,1,1,136,4486,3.287,0,-1,WCC6YFZ0PVAK,NONE,0.282,5.047,0.258,12.027,NONE,NONE,82,74,3008,2905,0,0,0,0,0,32,1,0x00,0x57,35.7,1,0,0,1,0,42,0,2.039,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,6,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,35.6,38,Ramp To Temperature,CB081,0,0,1.208,1.937,23.834,3.386,5.138,1,320,-1,380,350,10,10,1,1,0,0,44,-1
2023,11,21,1,30,6,24.3,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,1.109,132,0,0.272,0.243,40,1,1,136,4500,3.287,0,-1,WCC6YFZ0PVAK,NONE,0.272,5.048,0.243,12.027,NONE,NONE,82,74,3021,2905,0,0,0,1,0,33,1,0x00,0x57,37.2,1,0,0,1,0,42,0,2.026,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,37,37,Ramp To Temperature,CB081,0,0,1.208,1.937,23.902,3.386,5.138,1,330,-1,370,350,10,10,1,1,0,0,46,-4
2023,11,21,1,31,38,23.9,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,1.134,132,12,0.178,0.219,40,1,1,136,4486,3.286,0,-1,WCC6YFZ0PVAK,NONE,0.178,5.047,0.219,12.027,NONE,NONE,82,74,3005,2911,0,0,0,1,0,34,1,0x00,0x57,36.6,1,0,0,1,0,0,0,1.956,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,36.4,36.4,Ramp To Temperature,CB081,0,0,1.208,1.937,23.963,3.386,5.137,1,340,-1,364,350,10,10,1,1,1,0,-8,-4
2023,11,21,1,33,9,23.9,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,0.004,132,85,0.178,0.22,40,1,1,136,4507,3.286,0,-1,WCC6YFZ0PVAK,NONE,0.178,5.047,0.22,12.027,NONE,NONE,82,74,3005,2899,0,0,0,1,0,35,1,0x00,0x57,35.6,1,0,0,1,0,0,0,2.359,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,35.5,35.5,Ramp To Temperature,CB081,0,0,1.207,1.937,23.929,3.386,5.137,1,350,-1,355,350,10,10,1,1,1,0,-83,-2
2023,11,21,1,34,41,23.9,2.02311E+13,OMEGAAMC,5,4.096,Cell132014,0x003963,1.136,132,70,0.289,0.248,40,1,1,136,4486,3.286,0,-1,WCC6YFZ0PVAK,NONE,0.289,5.045,0.248,12.027,NONE,NONE,82,74,3011,2911,0,0,0,1,0,35,1,0x00,0x57,35.4,1,0,0,1,0,0,0,2.149,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,6,0,0,15,Multiple Environment,PREBI,NONE,NONE,13107,1,TRESUL,0,22,999.9,14,2.484,52.0.91,35,3.295,6,PREBI,0,35,35.4,35.4,Ramp To Temperature,CB081,0,0,1.208,1.937,23.884,3.386,5.138,1,350,-1,354,350,10,10,1,1,1,0,-70,0
