YYYY,MM,DD,hh,mm,ss,ADCTemp_Tenths,BatchTestTime,CCCType,CPUUtilization,Cal,CellFolder,CellSerialNumber,CellTotalHeater_mA,Column,CoolDmd,DUTX_A,DUTY_A,DefaultMaxHandlingTemp,DefaultNegativeRampRate,DefaultPositiveRampRate,DriveFan_Dmd,DriveFan_MeasuredRPM,DriveIO_V,DriveSN1,DriveSN2,DriveSupplyX_A,DriveSupplyX_V,DriveSupplyY_A,DriveSupplyY_V,EFGHCode1,EFGHCode2,ElectronicsFan_Dmd_1,ElectronicsFan_Dmd_2,ElectronicsFan_MeasuredRPM_1,ElectronicsFan_MeasuredRPM_2,ElectronicsFan_MeasuredRPM_3,ElectronicsFan_MeasuredRPM_4,ElectronicsFan_MeasuredRPM_5,EnvStatusFlags,FPGACellInterlocks,FTemp,FanSpeedControlActive,FirmwareVersionMajor,FirmwareVersionMinor,FlowTemp_Tenths,FoundFTemp,FoundMaxTemp,FoundMinTemp,FoundTATarget,FreeRAM,HeatDmd,HeaterInterlockTripReasons,Input_A,IsAirValveOk,IsCellOnTemp,IsDaughterPluggedIn,IsDriveFanSpeedOk,IsDrivePluggedIn,IsDuelDriveCell,IsEEPROMOk,IsElectronicsFanSpeedOk,IsFirmwareOk,IsHeaterOk,IsOverTempOk,IsRimPluggedIn,IsSuppliesOk,IsVCLimitOk,MaxNegativeRampRate,MaxPositiveRampRate,MaxTemp,MaxTemperature,MeasuredCurrentRate,MemoryAvailable,MinTemp,MinTemperature,Mode,Operation,PFCode1,PFCode2,PSUStatus,PlugStatus,Product,RBFVersionMajor,RBFVersionMinor,ReturnTemp_Tenths,Row,SERef_V,SWVersion,SafeHandlingTemp,SharedSRef_V,Slot,SlotOperation,SupplyInterlockTripReasons,TATargetTemp,TargetTempRateControlled,TargetTemp_Tenths,TempControlMode,TesterID,TotalRAM,UsedRAM,Volts1v2,Volts1v8,Volts24v,Volts3v3,Volts5v,WRFTempMode_Active_now,WRLastFTempReading,WRLastMedianFTempReading,WRLastReqAirTargetToCell,WRLastReqTargetFromTA,WR_GetNegativeRampRate,WR_GetPositiveRampRate,WR_IOPWantControlByFTemp,WR_SIOWantControlByFTemp,WrapperOnTemp,dmd_D,dmd_I,dmd_P
2023,7,4,10,50,38,24.3,,OMEGAAMC,3,4.097,Cell0208,0x021063,3.625,12,0,0,0,40,1,1,137,4493,3.275,WXE808KX6102,NONE,0,0.03,0,0.023,NONE,NONE,90,84,2998,2896,0,0,0,0,0,-1,1,0x00,0x57,27,-1,-1,-1,-1,0,55,0,1.106,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,-1,70,0,0,-1,15,Multiple Environment,XQUAL,NONE,NONE,8224,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,-1,27,35,Ramp To Temperature,PM282,0,0,1.227,1.938,23.101,3.387,5.152,-1,-1,,-1,-1,-1,-1,,-1,-1,0,54,0
2023,7,4,10,56,58,24.6,,OMEGAAMC,7,4.097,Cell0208,0x021063,0.017,12,0,0.201,0.222,40,1,1,137,4500,3.274,WXE808KX6102,NONE,0.201,4.998,0.222,11.999,NONE,NONE,90,84,3001,2896,0,0,0,1,0,0,1,0x00,0x57,25,0,0,0,0,0,0,0,2.413,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,0,35,35,Safe Handling,PM282,0,0,1.227,1.938,23.59,3.387,5.152,0,240,-1,0,0,0,0,-1,1,1,0,0,0
2023,7,4,10,58,29,25,,OMEGAAMC,7,4.097,Cell0208,0x021063,0.015,12,0,0.201,0.215,40,1,1,137,4500,3.274,WXE808KX6102,NONE,0.201,4.996,0.215,11.999,NONE,NONE,89,84,2989,2902,0,0,0,1,0,0,1,0x00,0x57,25.3,0,0,0,0,0,0,0,2.462,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,0,35,35,Safe Handling,PM282,0,0,1.227,1.938,23.646,3.387,5.152,0,240,-1,0,0,0,0,-1,1,1,0,0,0
2023,7,4,11,0,0,25,,OMEGAAMC,6,4.097,Cell0208,0x021063,2.418,12,0,0.202,0.22,40,1,1,137,4507,3.274,WXE808KX6102,NONE,0.202,4.998,0.22,11.999,NONE,NONE,89,84,3005,2902,0,0,0,0,0,24,1,0x00,0x57,26.7,1,0,0,1,0,28,0,2.416,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,26.7,70,Ramp To Temperature,PM282,0,0,1.227,1.938,23.186,3.386,5.151,1,240,-1,700,600,0,0,-1,1,0,0,26,2
2023,7,4,11,1,32,25,,OMEGAAMC,7,4.097,Cell0208,0x021063,3.575,12,0,0.202,0.211,40,1,1,137,4493,3.274,WXE808KX6102,NONE,0.202,4.998,0.211,11.999,NONE,NONE,89,84,3008,2905,0,0,0,0,0,25,1,0x00,0x57,28.2,1,0,0,1,0,41,0,2.397,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,28.3,70,Ramp To Temperature,PM282,0,0,1.227,1.938,23.3,3.387,5.151,1,250,-1,700,600,0,0,-1,1,0,0,38,2
2023,7,4,11,3,3,25,,OMEGAAMC,7,4.097,Cell0208,0x021063,2.412,12,0,0.202,0.212,40,1,1,137,4500,3.274,WXE808KX6102,NONE,0.202,4.998,0.212,11.999,NONE,NONE,89,84,2998,2905,0,0,0,0,0,26,1,0x00,0x57,29.8,1,0,0,1,0,49,0,2.407,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,29.8,70,Ramp To Temperature,PM282,0,0,1.227,1.938,23.098,3.387,5.151,1,260,-1,700,600,0,0,-1,1,0,0,48,0
2023,7,4,11,4,34,25.3,,OMEGAAMC,6,4.097,Cell0208,0x021063,3.577,12,0,0.203,0.213,40,1,1,137,4500,3.274,WXE808KX6102,NONE,0.203,4.998,0.213,11.999,NONE,NONE,89,84,2989,2896,0,0,0,0,0,26,1,0x00,0x57,31.3,1,0,0,1,0,56,0,2.401,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,31.3,70,Ramp To Temperature,PM282,0,0,1.227,1.938,22.949,3.387,5.151,1,260,-1,700,600,0,0,-1,1,0,0,55,0
2023,7,4,11,6,5,25.3,,OMEGAAMC,6,4.097,Cell0208,0x021063,4.695,12,0,0.203,0.21,40,1,1,137,4500,3.274,WXE808KX6102,NONE,0.203,4.998,0.21,11.999,NONE,NONE,89,84,2995,2902,0,0,0,0,0,27,1,0x00,0x57,32.8,1,0,0,1,0,64,0,2.391,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,32.8,70,Ramp To Temperature,PM282,0,0,1.227,1.937,22.948,3.386,5.151,1,270,-1,700,600,0,0,-1,1,0,0,63,1
2023,7,4,11,7,37,25.3,,OMEGAAMC,6,4.097,Cell0208,0x021063,4.729,12,0,0.204,0.207,40,1,1,136,4486,3.274,WXE808KX6102,NONE,0.204,4.997,0.207,11.999,NONE,NONE,89,84,2992,2902,0,0,0,0,0,28,1,0x00,0x57,34.3,1,0,0,1,0,71,0,2.375,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,34.3,70,Ramp To Temperature,PM282,0,0,1.227,1.938,23.166,3.386,5.151,1,280,-1,700,600,0,0,-1,1,0,0,69,1
2023,7,4,11,9,8,25.3,,OMEGAAMC,6,4.097,Cell0208,0x021063,4.76,12,0,0.204,0.198,40,1,1,137,4514,3.275,WXE808KX6102,NONE,0.204,4.997,0.198,11.999,NONE,NONE,89,84,2998,2905,0,0,0,0,0,30,1,0x00,0x57,35.9,1,0,0,1,0,73,0,2.357,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,99.9,60,0,70,0,0,0,15,Multiple Environment,XQUAL,NONE,NONE,13107,1,KOJIN-RE,0,22,999.9,2,2.49,52.0.85.15,35,3.303,8,XQUAL,0,60,35.8,70,Ramp To Temperature,PM282,0,0,1.227,1.938,23.002,3.386,5.151,1,300,-1,700,600,0,0,-1,1,0,0,74,0
